id,value
220,23.106636005776192
221,23.448027789476868
249,22.752748346451796
250,23.18256920843482
251,23.511527028779206
252,23.67505926071136
278,22.517342567382567
279,22.91120244053882
280,23.288973235104468
281,23.572536850840564
282,23.702803963399887
283,23.655622723978595
287,22.309876063588668
288,21.934521955692567
307,22.526237083182277
308,22.799694448268703
309,23.11679675751768
310,23.41071112598343
311,23.61634990226384
312,23.684512791098516
313,23.594913548612894
314,23.35923932882504
315,23.012238067464803
316,22.600703907895763
317,22.172446313534643
318,21.76527146684232
319,21.39754676526375
336,22.77463163482911
337,22.92241071415762
338,23.127213304022263
339,23.346506060725154
340,23.52981825971835
341,23.629052043514562
342,23.608791084947377
343,23.45578647019432
344,23.181090298813942
345,22.813358323825614
346,22.390602110343114
347,21.951929160768902
348,21.52929197295852
349,21.140388091390214
366,23.21424587893263
367,23.335765864268275
368,23.465475058600983
369,23.573668985596832
370,23.62814550165167
371,23.60033887812029
372,23.471452870922604
373,23.238068017282796
374,22.913050678026814
375,22.520818921567795
376,22.09161761953973
377,21.655785852824927
378,21.23803058795145
379,20.85250827644182
398,23.776852593769878
399,23.770704225874223
400,23.68998067246815
401,23.52628659200365
402,23.278653536459917
403,22.955311608423948
404,22.57319865697639
405,22.15475199055159
406,21.724222972130644
407,21.303987911477137
408,20.910863496764406
409,20.553007116508905
410,20.2301484970043
428,24.023786328878714
429,23.911766185638616
430,23.70410634721824
431,23.41093485629518
432,23.04818161402295
433,22.6359692703653
434,22.196733398099433
435,21.753017504541702
436,21.32521095343471
437,20.929286443754506
438,20.574541236720428
439,20.261821330216257
440,19.984496320272516
458,24.172688389651494
459,23.975246967673748
460,23.664426800682644
461,23.26485419897986
462,22.80607752845481
463,22.318429553434473
464,21.82998920062578
465,21.364863857600504
466,20.941703521986465
467,20.572216750075086
468,20.25969031673866
469,19.997987069190977
470,19.773267393271563
487,24.303078227972264
488,24.198096372647278
489,23.946217827654834
490,23.570031283113646
491,23.102525440023182
492,22.58141145127439
493,22.043639100344734
494,21.52164420081498
495,21.041675396500278
519,23.81886830010028
520,23.425235616375506
521,22.939673436631253
522,22.400990351393663
523,21.84763127859406
524,21.31382116970705
525,20.827607912982415
552,22.28406504583501
553,21.754054812864066
554,21.23318831087332
584,21.28223218350233
