id,value
0,27.61115
1,27.61115
2,27.100642064460065
3,27.100642064460065
4,26.284254292150532
5,26.284254292150532
6,26.071545321177393
7,26.071545321177393
8,26.08215296885761
9,26.08215296885761
10,25.400597769162612
11,25.400597769162612
12,23.992954846196405
13,23.992954846196405
14,22.57397813560987
15,22.57397813560987
16,21.695932282939108
17,21.695932282939108
18,21.450140381610094
19,21.450140381610094
20,21.627571295313647
21,21.627571295313647
22,21.87010229174472
23,21.87010229174472
24,21.792067508650785
25,21.792067508650785
26,21.184095163068367
27,21.184095163068367
28,20.26163306219074
29,20.26163306219074
30,19.54711334776168
31,19.54711334776168
32,19.33174668093
33,19.33174668093
34,19.449073712105918
35,19.449073712105918
36,19.602234864078564
37,19.602234864078564
38,19.650533981311263
39,19.650533981311263
40,19.61292534962591
41,19.61292534962591
42,19.582449999999998
43,19.582449999999998
